"dates","close"
2017-01-03,808.01001
2017-01-04,807.77002
2017-01-05,813.02002
2017-01-06,825.210022
2017-01-09,827.179993
2017-01-10,826.01001
2017-01-11,829.859985
2017-01-12,829.530029
2017-01-13,830.940002
2017-01-17,827.460022
2017-01-18,829.02002
2017-01-19,824.369995
2017-01-20,828.169983
2017-01-23,844.429993
2017-01-24,849.530029
2017-01-25,858.450012
2017-01-26,856.97998
2017-01-27,845.030029
2017-01-30,823.830017
2017-01-31,820.190002
2017-02-01,815.23999
2017-02-02,818.26001
2017-02-03,820.130005
2017-02-06,821.619995
2017-02-07,829.22998
2017-02-08,829.880005
2017-02-09,830.059998
2017-02-10,834.849976
2017-02-13,838.960022
2017-02-14,840.030029
2017-02-15,837.320007
2017-02-16,842.169983
2017-02-17,846.549988
2017-02-21,849.27002
2017-02-22,851.359985
2017-02-23,851
2017-02-24,847.809998
2017-02-27,849.669983
2017-02-28,844.929993
2017-03-01,856.75
2017-03-02,849.849976
2017-03-03,849.080017
2017-03-06,847.27002
2017-03-07,851.150024
2017-03-08,853.640015
2017-03-09,857.840027
2017-03-10,861.409973
2017-03-13,864.580017
2017-03-14,865.909973
2017-03-15,868.390015
2017-03-16,870
2017-03-17,872.369995
2017-03-20,867.909973
2017-03-21,850.140015
2017-03-22,849.799988
2017-03-23,839.650024
2017-03-24,835.140015
2017-03-27,838.51001
2017-03-28,840.630005
2017-03-29,849.869995
2017-03-30,849.47998
2017-03-31,847.799988
2017-04-03,856.75
2017-04-04,852.570007
2017-04-05,848.909973
2017-04-06,845.099976
2017-04-07,842.099976
2017-04-10,841.700012
2017-04-11,839.880005
2017-04-12,841.460022
2017-04-13,840.179993
2017-04-17,855.130005
2017-04-18,853.98999
2017-04-19,856.51001
2017-04-20,860.080017
2017-04-21,858.950012
2017-04-24,878.929993
2017-04-25,888.840027
2017-04-26,889.140015
2017-04-27,891.440002
2017-04-28,924.52002
2017-05-01,932.820007
2017-05-02,937.090027
2017-05-03,948.450012
2017-05-04,954.719971
2017-05-05,950.280029
2017-05-08,958.690002
2017-05-09,956.710022
2017-05-10,954.840027
2017-05-11,955.890015
2017-05-12,955.140015
2017-05-15,959.219971
2017-05-16,964.609985
2017-05-17,942.169983
2017-05-18,950.5
2017-05-19,954.650024
2017-05-22,964.070007
2017-05-23,970.549988
2017-05-24,977.609985
2017-05-25,991.859985
2017-05-26,993.27002
2017-05-30,996.169983
2017-05-31,987.090027
2017-06-01,988.289978
2017-06-02,996.119995
2017-06-05,1003.880005
2017-06-06,996.679993
2017-06-07,1001.5
2017-06-08,1004.280029
2017-06-09,970.119995
2017-06-12,961.809998
2017-06-13,970.5
2017-06-14,967.929993
2017-06-15,960.179993
2017-06-16,958.619995
2017-06-19,975.219971
2017-06-20,968.98999
2017-06-21,978.590027
2017-06-22,976.619995
2017-06-23,986.090027
2017-06-26,972.090027
2017-06-27,948.090027
2017-06-28,961.01001
2017-06-29,937.820007
2017-06-30,929.679993
2017-07-03,919.460022
2017-07-05,932.26001
2017-07-06,927.690002
2017-07-07,940.809998
2017-07-10,951
2017-07-11,953.530029
2017-07-12,967.659973
2017-07-13,968.849976
2017-07-14,976.909973
2017-07-17,975.960022
2017-07-18,986.950012
2017-07-19,992.77002
2017-07-20,992.190002
2017-07-21,993.840027
2017-07-24,998.309998
2017-07-25,969.030029
2017-07-26,965.309998
2017-07-27,952.51001
2017-07-28,958.330017
2017-07-31,945.5
2017-08-01,946.559998
2017-08-02,947.640015
2017-08-03,940.299988
2017-08-04,945.789978
2017-08-07,945.75
2017-08-08,944.190002
2017-08-09,940.080017
2017-08-10,923.590027
2017-08-11,930.090027
2017-08-14,938.929993
2017-08-15,938.080017
2017-08-16,944.27002
2017-08-17,927.659973
2017-08-18,926.179993
2017-08-21,920.869995
2017-08-22,940.400024
2017-08-23,942.580017
2017-08-24,936.890015
2017-08-25,930.5
2017-08-28,928.130005
2017-08-29,935.75
2017-08-30,943.630005
2017-08-31,955.23999
2017-09-01,951.98999
2017-09-05,941.47998
2017-09-06,942.02002
2017-09-07,949.890015
2017-09-08,941.409973
2017-09-11,943.289978
2017-09-12,946.650024
2017-09-13,950.440002
2017-09-14,940.130005
2017-09-15,935.289978
2017-09-18,929.75
2017-09-19,936.859985
2017-09-20,947.539978
2017-09-21,947.549988
2017-09-22,943.26001
2017-09-25,934.280029
2017-09-26,937.429993
2017-09-27,959.900024
2017-09-28,964.809998
2017-09-29,973.719971
2017-10-02,967.469971
2017-10-03,972.080017
2017-10-04,966.780029
2017-10-05,985.190002
2017-10-06,993.640015
2017-10-09,992.309998
2017-10-10,987.799988
2017-10-11,1005.650024
2017-10-12,1005.650024
2017-10-13,1007.869995
2017-10-16,1009.349976
2017-10-17,1011
2017-10-18,1012.73999
2017-10-19,1001.840027
2017-10-20,1005.070007
2017-10-23,985.539978
2017-10-24,988.48999
2017-10-25,991.460022
2017-10-26,991.419983
2017-10-27,1033.670044
2017-10-30,1033.130005
2017-10-31,1033.040039
