dates,close,week
06-01-17,825.210022,2017.01
13-01-17,830.940002,2017.02
20-01-17,828.169983,2017.03
27-01-17,845.030029,2017.04
03-02-17,820.130005,2017.05
10-02-17,834.849976,2017.06
17-02-17,846.549988,2017.07
24-02-17,847.809998,2017.08
03-03-17,849.080017,2017.09
10-03-17,861.409973,2017.1
17-03-17,872.369995,2017.11
24-03-17,835.140015,2017.12
31-03-17,847.799988,2017.13
07-04-17,842.099976,2017.14
13-04-17,840.179993,2017.15
21-04-17,858.950012,2017.16
28-04-17,924.52002,2017.17
05-05-17,950.280029,2017.18
12-05-17,955.140015,2017.19
19-05-17,954.650024,2017.2
26-05-17,993.27002,2017.21
02-06-17,996.119995,2017.22
09-06-17,970.119995,2017.23
16-06-17,958.619995,2017.24
23-06-17,986.090027,2017.25
30-06-17,929.679993,2017.26
07-07-17,940.809998,2017.27
14-07-17,976.909973,2017.28
21-07-17,993.840027,2017.29
28-07-17,958.330017,2017.3
04-08-17,945.789978,2017.31
11-08-17,930.090027,2017.32
18-08-17,926.179993,2017.33
25-08-17,930.5,2017.34
01-09-17,951.98999,2017.35
08-09-17,941.409973,2017.36
15-09-17,935.289978,2017.37
22-09-17,943.26001,2017.38
29-09-17,973.719971,2017.39
06-10-17,993.640015,2017.4
13-10-17,1007.869995,2017.41
20-10-17,1005.070007,2017.42
27-10-17,1033.670044,2017.43
31-10-17,1033.040039,2017.44
